,,,,归属母公司股东的净利润同比增长率(%),,,,,,,归属母公司股东的净利润-扣除非经常损益同比增长率(%),,,,,,,营业总收入同比增长率(%),,,,,,,销售毛利率,,,,,,,销售净利率,,,,,,,加权平均净资产收益率,,,,,,
ts_code,name,area,list_date,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y
603986.SH,兆易创新,北京,20160818,323.2381,-55.5843,49.8549,1.9099,125.2573,11.8169,60.8016,369.14,-62.03,56.7,8.87,119.93,6.33,89.1566,76.5088,-15.7297,42.619,10.6457,36.3183,25.2501,25.5679,40.92,38.4796,40.5202,38.2506,39.1611,26.7207,28.6661,20.8211,8.6706,18.8976,17.9882,19.5863,11.733,13.1202,3.15,2.03,16.96,22.25,26.27,21.18,31.92
688008.SH,澜起科技,上海,20190722,16.5003,,26.596,112.4083,273.8146,,-63.664,1.16,,19.54,154.5595,8599.2486,,,22.4936,,-1.1339,43.1889,45.2776,,-6.9661,72.5295,76.2059,73.9604,70.5442,53.4871,51.2028,,53.0483,55.7773,53.6824,41.9237,28.2616,10.9835,,3.5,,17.66,37.11,33.52,11.35,
688018.SH,乐鑫科技,上海,20190722,-66.8622,11.6036,68.8335,219.634,6436.7139,,,-98.53,13.03,33.69,91.2806,5341.8659,,,-16.1539,37.2361,59.4855,74.5985,121.2544,,,44.843,46.4606,47.0257,50.6613,50.8113,51.4522,,7.5963,19.2204,20.9268,19.7681,10.7982,0.3655,,0.59,8.71,18.32,36.04,20.81,0.52,
688019.SH,安集科技,上海,20190722,426.0044,,46.4467,13.144,7.1179,,,482.72,,-0.23,15.8587,4.2292,,,64.0628,,15.155,6.635,18.1998,,,52.137,47.7334,50.2516,51.1019,55.5765,55.6062,,24.4518,7.6266,23.0707,18.1411,17.0975,18.8663,,2.62,,11.4,13.87,14.1,29.26,
688037.SH,芯源微,辽宁,20191216,12.8072,,-3.9439,16.0265,432.9876,,,-1.9267,,-25.7,29.7227,4303.9795,,,-17.2376,,1.5077,10.5882,28.6457,,,55.6225,37.8829,46.616,46.4888,41.6812,42.1443,,-92.2667,-87.5785,13.7345,14.5139,13.8337,3.339,,-1.05,-4.19,12.48,14.8,15.91,3.43,
688099.SH,晶晨股份,上海,20190808,-184.9187,,-44.0621,261.7954,6.9503,,,-202.21,-27.17,-48.15,68.81,146.14,,,-28.2289,,-0.4785,40.1412,47.0586,,,30.9325,33.381,33.9284,34.8113,35.1883,31.5107,,-9.7969,8.2096,6.6613,11.9177,4.609,6.3518,,-1.41,,9.24,28.98,11.0,40.42,
688123.SH,聚辰股份,上海,20191223,26.4675,,24.95,205.9032,-29.1495,60.2886,35.4978,0.83,,2.69,44.84,61.77,,,-10.4681,,18.7832,25.6892,12.0958,44.0158,8.4356,38.1321,42.9849,40.7774,45.8653,48.5301,45.468,,20.4745,14.4948,18.5258,17.6115,7.2362,11.4487,,1.53,,25.73,24.01,11.57,24.77,
688126.SH,沪硅产业-U,上海,20200420,-576.4867,,-902.3971,-94.9874,355.7034,,,-262.1414,,-129.7178,-3.9417,-9.4714,,,55.4018,,47.7081,45.6402,156.8996,,,14.2254,30.8099,14.5455,21.9906,23.0828,13.83,,-13.1832,2.03,-6.7844,0.958,31.3653,-33.7243,,-1.16,0.33,-2.06,,,,
688181.SH,八亿时空,北京,20200106,32.4359,,-3.6795,114.6244,217.3673,743.533,-77.1349,34.66,,-12.12,108.0345,292.3873,1756.1103,-79.5951,33.3544,,9.2325,70.7587,74.1425,67.8194,29.9443,47.2625,49.9324,48.1643,55.164,50.8885,35.9516,39.4252,28.9693,29.1703,25.6212,29.0558,23.1172,12.6846,2.5236,2.47,,20.08,23.91,20.49,10.13,6.66
688368.SH,晶丰明源,上海,20191014,-75.5636,,13.5407,6.8517,154.4384,55.4438,-71.2285,-131.93,5.25,6.46,19.4134,116.7516,113.3307,-78.1899,9.5861,,13.9691,10.3996,22.3589,58.9081,5.8856,23.8555,23.2398,22.8562,23.207,22.0551,20.3083,20.2879,1.5077,6.7614,10.5696,10.6095,10.9617,5.2715,5.389,0.24,,21.47,34.52,48.1,19.08,10.5
688981.SH,N中芯-U,上海,20200716,101.424,637.8986,1238.0808,315.8963,230.5607,48.6242,65.6617,143.3401,,15.3615,-325.7255,,,,38.416,453.0822,552.4797,639.9005,633.9911,30.0592,14.9889,21.5795,18.7725,20.8336,23.0198,24.7588,,,5.436,6.4548,5.7614,1.5652,4.2195,,,0.99,0.53,4.25,1.99,4.26,,
